Sea_Surface_Temperature,Atmospheric_Pressure,Humidity,Wind_Shear,Vorticity,Latitude,Ocean_Depth,Proximity_to_Coastline,Pre_existing_Disturbance,Cyclone
27.4981604754,1008.5214291923,89.2797576725,13.979877263,1.98217708420315E-05,8.1198904067,76.1376254757,1.3661761458,1,1
28.404460047,1001.2421773339,60.8233797718,19.5486477824,8.40820508760401E-05,9.2467822136,131.8212352432,0.6834045099,1,1
27.2169689718,995.742692949,77.2778007457,9.368437103,0.000063126,7.789877213,181.4650918408,0.8663618433,1,1
27.8242799369,1003.5552788418,67.9869512863,12.7135165762,6.12793840418941E-05,5.9290082544,323.3951833556,0.6705241237,1,1
26.2602063719,1008.4665661176,98.625281323,17.1259602217,3.39383080714702E-05,6.9534422801,357.9048619305,0.9401524937,1,1
26.4881529394,994.8553073033,61.3755408446,18.6398060312,2.95840982520016E-05,18.2504456871,190.2699842402,1.0200680212,1,1
28.1868411174,985.5456336658,98.7833851106,16.6269923504,9.4252399448598E-05,22.8965470086,319.054990465,1.421874235,1,1
26.3539700082,985.8794858726,61.8090915564,9.8799549614,4.19243425205008E-05,10.4269806355,422.9318791184,0.8567533267,1,1
27.1237380387,996.2808824947,65.636968999,17.0329547113,1.20823111495782E-05,24.737738732,397.5101461835,0.6987156815,1,1
26.0220884685,1004.4638428537,88.2742937539,15.9351075206,7.82706829351648E-05,6.4808930347,211.3095778449,0.6158690595,1,1
29.4524137035,998.6989438048,73.2359209941,5.9533752543,3.45433205629879E-05,11.5036664405,378.3227802521,1.1375574714,1,1
29.5488509703,994.1664477549,64.7837698375,15.6986718083,7.72745796186053E-05,16.2255439514,396.9352309796,0.9937955964,1,1
28.0909313175,992.8262305508,61.0167650698,6.6183714049,7.98577264023975E-06,17.7282082253,191.4601914843,1.0085706912,1,1
29.6302658957,987.4787668745,76.4153169214,16.3332670781,2.67358257217041E-05,6.5395981966,180.3881538112,0.6612212873,1,1
29.7187906094,1004.2436113869,85.3361502604,18.0719088528,8.13488473054159E-05,8.7314011777,451.6515493205,1.0393422419,1,1
29.2297606207,1006.8827389977,72.7201389989,6.6507788679,2.66538404414845E-05,13.5421557725,418.1066446651,1.3607305833,1,1
26.0278085221,995.3224190773,76.696440126,8.3316171571,1.63872098966999E-05,11.7523034281,474.3093667606,0.823202932,1,1
28.075162487,1001.0905687669,74.5451840952,19.5767312408,9.64324930195006E-05,10.0356459165,273.7618276516,0.8008783098,1,1
27.1393619775,981.1066084206,84.3825733592,12.5401853484,9.89048136874899E-06,10.5729292847,458.719648685,0.7395618907,1,1
26.5795794884,994.6835828083,99.4260181644,8.6308290727,6.88528770035585E-05,20.2323923066,156.9368947966,1.2282163486,1,1
27.4711325309,998.9691749178,85.3411884304,13.0366202611,1.35775281551688E-05,21.7060499118,194.3510292373,0.6865185104,1,1
26.1631005662,997.7267882956,87.1025744737,5.2488174339,5.36488405384317E-05,9.529915504,340.3277556843,0.674366429,1,1
28.7637509524,991.602060389,97.4691995495,7.0628141622,3.74013033497746E-05,7.2694704248,466.1121282254,1.3773393534,1,1
27.0317665109,999.799521381,92.688888008,13.328012174,5.53168049438206E-05,9.837045818,91.8962455127,1.397215758,1,1
29.6016722287,998.9930437182,73.5611916419,10.2381436192,7.39657894926728E-05,22.9422051991,449.1888909193,1.2798755459,1,1
28.5681265846,982.5241989499,66.4651485638,18.4783128279,6.2610760667661E-05,5.1839410323,95.6621942897,1.1635017691,1,1
26.0202463354,984.8242415425,81.9493515747,15.3784279654,6.69363196527471E-05,9.4853861892,370.4806496064,0.7372490875,1,1
27.3015987926,1002.3947421535,85.9853159619,17.7383511574,6.74732247685326E-05,16.3661720667,92.1536455226,0.8677158031,1,1
27.0608094707,987.3196893014,98.9204221901,10.89646587,8.97444227418258E-05,17.6227725199,407.6650865937,1.0026370931,1,1
28.3076155385,994.7755308146,67.8097195119,15.8367817289,3.16733744318813E-05,5.4863193286,340.4625331582,0.6771106794,1,1
29.7618343374,1008.6178573101,96.5945756088,10.5523805038,6.46837857024241E-06,23.5663712518,242.6828667428,1.466654819,1,1
29.8544799084,1005.590283664,71.7779556828,10.776465929,0.000085858,11.3384401031,126.2717360087,1.0568012625,1,1
29.7446190966,1000.8808939003,82.8024468036,6.4576474066,6.34256865364211E-05,24.8010770021,113.0378068564,1.0183296524,1,1
